# aliases are semicolon-separated. Blank canonical_ja falls back to canonical_en.
# canonical_en,canonical_ja,aliases
Andykins,,The Drink;Andross
grain,,etab
Papamark,,Mr. Groovy;Mr Groovy
Dr. Sauce,,Dr. D
Mr. Sir,,mrsir;mr sir
Dogs Johnson,,Dogs_Johnson
Hero Pie,,Heropie
Pokehero,,Pokehero64
MasterHandJob,,MHJ
HAMMERHEART,,fidelcasto22
Waxy:Joe,,waxyjoe;waxy joe
KrisKringle,,Kris Kringle
Mercy,,Stranded;PlayboyMercy
JPX,あかぎ00,Akagi
LD,,Sleepy Fox;sleepyfox
Cuddly,,xyamiz
Kurabba,クラッバ,
kysk,きよしき,k y s k;ｋｙｓｋ
Fukurou,ふくろう
Jouske,丈助,Jousuke
Dame Tamago,だめたまご,dametamago
Wangera,ワンゲラー,
sharin,車輪,
Nanakyou,ななきょう,
Shizuku,シズク,
Prince,プリンス,
watayuu,わたゆう,
kafe,かふぇ,
mikau,みかう,
Moyashi,もやし,
Tokiwa,トキワ,
tomo,トモ,
Nangoku,南国,
Takuro,たくろ〜.,
Nemu,ねむ,
Hitoshio,ひとしお,
Wakiyan,わきやん,
Keisuke,ケイスケ,
Akipika,秋ぴか,
Kiikun,きーくん,
Kurosutaa,くろすたー,
Goya,ごーや,
Jiro,じろ,
Farupan,ふぁるぱん,
Meinou,めいのう,
Rewan,れわん,
Karin,カリン,
Suumo,スーモ,
Zetsuo,絶男,
Yuu,yuu,
Silver spoon,シルスプ,shirusupu
Nobu,のぶ,
Take,たけ,
Hinadori,ひなどり,
Funpii,ふんぴー,
Massun,まっすん,
JonnJonn,鵺,Nue
Inmori,いんもり,
Kama,かま,
Toteddo,トテッド,
Tsurisuki,釣りすき,
Sonjoo,そんじょー,
Aimidori,藍緑,
Akuro,アクロ,
Hosshi,ホッシ,
Megane,メガネ,
Kusora,クソラ,
Chihiro,ちひろ,
Sanosuke,さの助,
Setsuna,セツナ,
Hoshi farukon,星ファルコン,
